[Thread-2][epoch 50]	Val Loss: 71.76712317823865
[Thread-3][epoch 50]	Val Loss: 82.46397945372475
[Thread-1][epoch 50]	Val Loss: 92.96665850100904
[Thread-0][epoch 50]	Val Loss: 96.665755455195
[Thread-2][epoch 51]	Val Loss: 70.79730488525159
[Thread-4][epoch 53]	Val Loss: 86.61713858432616
[Thread-3][epoch 51]	Val Loss: 82.8169668704461
[Thread-0][epoch 51]	Val Loss: 97.03996270392508
[Thread-4][epoch 54]	Val Loss: 82.36965832611538
[Thread-1][epoch 51]	Val Loss: 85.1469930116776
[Thread-2][epoch 52]	Val Loss: 72.5240109698676
[Thread-3][epoch 52]	Val Loss: 79.45590647478029
[Thread-0][epoch 52]	Val Loss: 98.49199534644687
[Thread-4][epoch 55]	Val Loss: 83.87317390116544
[Thread-3][epoch 53]	Val Loss: 78.9387255322804
[Thread-1][epoch 52]	Val Loss: 83.09221114804295
[Thread-2][epoch 53]	Val Loss: 73.90412914193168
[Thread-0][epoch 53]	Val Loss: 99.55746826695402
[Thread-4][epoch 56]	Val Loss: 77.76564981204872
[Thread-1][epoch 53]	Val Loss: 81.40248114949691
[Thread-0][epoch 54]	Val Loss: 98.3632582402355
[Thread-3][epoch 54]	Val Loss: 80.371438346178
[Thread-2][epoch 54]	Val Loss: 72.88384920695152
[Thread-4][epoch 57]	Val Loss: 74.66476921974233
[Thread-3][epoch 55]	Val Loss: 75.04789156901282
[Thread-1][epoch 54]	Val Loss: 78.2641458614206
[Thread-2][epoch 55]	Val Loss: 70.66239633392249
[Thread-0][epoch 55]	Val Loss: 95.68554608368866
[Thread-4][epoch 58]	Val Loss: 71.57530879318192
[Thread-1][epoch 55]	Val Loss: 78.63171760652403
[Thread-3][epoch 56]	Val Loss: 72.02085354361319
[Thread-2][epoch 56]	Val Loss: 71.7430227310763
[Thread-1][epoch 56]	Val Loss: 79.5820742355879
[Thread-4][epoch 59]	Val Loss: 72.70913571798548
[Thread-0][epoch 56]	Val Loss: 92.23518478898569
[Thread-3][epoch 57]	Val Loss: 70.26072609180362
[Thread-2][epoch 57]	Val Loss: 69.62665601170586
[Thread-1][epoch 57]	Val Loss: 80.86485172736671
[Thread-2][epoch 58]	Val Loss: 67.64119262253034
[Thread-0][epoch 57]	Val Loss: 93.52945464889513
[Thread-3][epoch 58]	Val Loss: 71.96498047680326
[Thread-4][epoch 60]	Val Loss: 73.85266041870818
[Thread-3][epoch 59]	Val Loss: 70.96600038333317
[Thread-2][epoch 59]	Val Loss: 65.81996890091636
[Thread-1][epoch 58]	Val Loss: 79.09125440882626
[Thread-0][epoch 58]	Val Loss: 91.79556284004416
[Thread-4][epoch 61]	Val Loss: 75.37100702914911
[Thread-3][epoch 60]	Val Loss: 66.42534886673047
[Thread-2][epoch 60]	Val Loss: 62.871453081680755
[Thread-4][epoch 62]	Val Loss: 72.57346877312891
[Thread-1][epoch 59]	Val Loss: 77.77430901890318
[Thread-0][epoch 59]	Val Loss: 91.73036411639902
[Thread-2][epoch 61]	Val Loss: 64.13359211207079
[Thread-3][epoch 61]	Val Loss: 63.991623606962484
[Thread-4][epoch 63]	Val Loss: 73.67457181844496
[Thread-1][epoch 60]	Val Loss: 73.93076073305582
[Thread-0][epoch 60]	Val Loss: 88.74650966273009
[Thread-2][epoch 62]	Val Loss: 65.67185932171589
[Thread-1][epoch 61]	Val Loss: 75.75460950479874
[Thread-3][epoch 62]	Val Loss: 64.41211692139275
[Thread-0][epoch 61]	Val Loss: 90.27434487939438
[Thread-4][epoch 64]	Val Loss: 75.28779188717786
[Thread-2][epoch 63]	Val Loss: 66.6540648467627
[Thread-0][epoch 62]	Val Loss: 87.3881858909182
[Thread-4][epoch 65]	Val Loss: 76.38339874531133
[Thread-1][epoch 62]	Val Loss: 72.7398476986941
[Thread-3][epoch 63]	Val Loss: 62.70245374697911
[Thread-0][epoch 63]	Val Loss: 82.9696851699784
[Thread-4][epoch 66]	Val Loss: 74.34561616412704
[Thread-1][epoch 63]	Val Loss: 74.17374593467927
[Thread-3][epoch 64]	Val Loss: 64.23637293472304
[Thread-2][epoch 64]	Val Loss: 63.91648408044474
[Thread-0][epoch 64]	Val Loss: 81.4485475377761
[Thread-3][epoch 65]	Val Loss: 65.0478963309609
[Thread-4][epoch 67]	Val Loss: 75.17269640657476
[Thread-1][epoch 64]	Val Loss: 75.30634578052033
[Thread-2][epoch 65]	Val Loss: 65.42855320444545
[Thread-3][epoch 66]	Val Loss: 66.64566278022811
[Thread-1][epoch 65]	Val Loss: 71.05243970017172
[Thread-0][epoch 65]	Val Loss: 82.96005091410251
[Thread-4][epoch 68]	Val Loss: 77.02336684832375
[Thread-2][epoch 66]	Val Loss: 66.49047758573433
[Thread-1][epoch 66]	Val Loss: 68.54416634841448
[Thread-0][epoch 66]	Val Loss: 79.9108558457196
[Thread-3][epoch 67]	Val Loss: 68.15116876820998
[Thread-2][epoch 67]	Val Loss: 67.50968314048782
[Thread-4][epoch 69]	Val Loss: 71.68901413157417
[Thread-0][epoch 67]	Val Loss: 77.71859396695017
